WHOREGION,ITZ,COUNTRY/AREA/TERRITORY,COUNTRY_CODE,ORIGIN_SOURCE,ISO_YEAR,ISO_WEEK,ISO_SDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BVIC,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2021,40,2021-10-04T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2021,41,2021-10-11T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2021,42,2021-10-18T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2021,43,2021-10-25T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2021,44,2021-11-01T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2021,45,2021-11-08T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2021,46,2021-11-15T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2021,47,2021-11-22T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2021,48,2021-11-29T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2021,49,2021-12-06T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2021,50,2021-12-13T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2021,51,2021-12-20T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2021,52,2021-12-27T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,2,2020-01-06T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,3,2020-01-13T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,4,2020-01-20T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,5,2020-01-27T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,6,2020-02-03T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,7,2020-02-10T06:00:00.000Z,,1,,,,,,,,,,,,1,1
AMR,FLU_CNT_AMC,Antigua and Barbuda,ATG,SENTINEL,2020,8,2020-02-17T06:00:00.000Z,,0,,,,,,,,,,,,0,1
